Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Oryx dammah,Mammalia,Male,a1,6.931485003,3.668572135,0.223915944,14.65648165
Oryx dammah,Mammalia,Male,c,0.051220447,0.009823973,0.02686462,0.065065157
Oryx dammah,Mammalia,Male,b0,-4.800785733,0.522257104,-5.804746545,-3.763515817
Oryx dammah,Mammalia,Male,b1,0.228206344,0.036163272,0.157419683,0.298536563
Eulemur fulvus,Mammalia,Female,a0,-2.809493824,0.708461453,-4.338999625,-1.531789405
Eulemur fulvus,Mammalia,Female,a1,6.345347296,2.839610718,1.724961065,12.65427293
Eulemur fulvus,Mammalia,Female,c,0.034688867,0.005550315,0.021033077,0.043293617
Eulemur fulvus,Mammalia,Female,b0,-10.73070272,3.662224266,-19.12630073,-4.93395998
Eulemur fulvus,Mammalia,Female,b1,0.269634934,0.121464118,0.073871555,0.541639431
Eulemur fulvus,Mammalia,Male,a0,-3.274235174,0.629299698,-4.571553859,-2.090917075
Eulemur fulvus,Mammalia,Male,a1,4.356307393,3.273384785,0.566469951,12.43006179
Eulemur fulvus,Mammalia,Male,c,0.016997273,0.008698599,0.001081662,0.032128352
Eulemur fulvus,Mammalia,Male,b0,-5.315071188,1.081066904,-7.9610016,-3.892826952
Eulemur fulvus,Mammalia,Male,b1,0.10383937,0.039362877,0.048128347,0.198113475
Oryx gazella,Mammalia,Female,a0,-3.553533038,0.651191479,-4.914847612,-2.348250512
Oryx gazella,Mammalia,Female,a1,6.082709507,3.564267552,0.052129073,13.75166754
Oryx gazella,Mammalia,Female,c,0.049536049,0.009450831,0.020997522,0.062337714
Oryx gazella,Mammalia,Female,b0,-6.071079739,0.665900027,-7.422146863,-4.842727052
Oryx gazella,Mammalia,Female,b1,0.334020779,0.046290528,0.246568153,0.427923754
Oryx gazella,Mammalia,Male,a0,-2.647287439,0.527278466,-3.810529685,-1.674097959
Oryx gazella,Mammalia,Male,a1,3.035932773,2.943247792,0.204219959,10.35383542
Oryx gazella,Mammalia,Male,c,0.060943311,0.018751765,0.01113373,0.084636267
Oryx gazella,Mammalia,Male,b0,-6.659739783,1.375777384,-9.561503444,-4.16422923
Oryx gazella,Mammalia,Male,b1,0.365131047,0.094050074,0.189730043,0.557003774
Vulpes vulpes,Mammalia,Female,a0,-2.183186057,0.34986879,-2.886210542,-1.486846308
Vulpes vulpes,Mammalia,Female,a1,1.90141533,1.278745059,0.574208318,5.383064977
Vulpes vulpes,Mammalia,Female,c,0.021842518,0.011018343,0.001764994,0.041669872
Vulpes vulpes,Mammalia,Female,b0,-5.128458434,0.557731145,-6.311330025,-4.17758608
Vulpes vulpes,Mammalia,Female,b1,0.306278557,0.045133791,0.226449181,0.400141613
Vulpes vulpes,Mammalia,Male,a0,-2.104091492,0.289919309,-2.68049825,-1.527104953
Vulpes vulpes,Mammalia,Male,a1,1.29203635,0.705961234,0.490612565,3.01252319
Vulpes vulpes,Mammalia,Male,c,0.021823129,0.011547313,0.001644717,0.04343466
Vulpes vulpes,Mammalia,Male,b0,-5.197654638,0.534536781,-6.347012064,-4.323467871
Vulpes vulpes,Mammalia,Male,b1,0.316322123,0.042634794,0.244071333,0.405411253
Capra sibirica,Mammalia,Female,a0,-2.172685864,0.634553266,-3.577808804,-1.091867679
Capra sibirica,Mammalia,Female,a1,6.311494318,3.203274467,1.032493046,13.2271527
Capra sibirica,Mammalia,Female,c,0.073146263,0.011227315,0.049428619,0.091957273
Capra sibirica,Mammalia,Female,b0,-7.348891037,1.315303483,-10.1320862,-4.995144926
Capra sibirica,Mammalia,Female,b1,0.50565504,0.106131377,0.311400936,0.722814702
Capra sibirica,Mammalia,Male,a0,-2.158586494,0.490442215,-3.377627873,-1.444349957
Capra sibirica,Mammalia,Male,a1,1.412585012,1.585184887,0.301453858,6.327263276
Capra sibirica,Mammalia,Male,c,0.055119859,0.030828051,0.003320241,0.114185027
Capra sibirica,Mammalia,Male,b0,-4.669777252,0.966992871,-6.942525575,-3.201814414
Capra sibirica,Mammalia,Male,b1,0.311376201,0.08074401,0.177223102,0.491254449
Eulemur coronatus,Mammalia,Female,a0,-3.101127747,0.753954168,-4.658507167,-1.693568127
Eulemur coronatus,Mammalia,Female,a1,5.89835396,3.230631836,0.7598425,12.98239941
Eulemur coronatus,Mammalia,Female,c,0.013051285,0.006722548,0.00120646,0.026499027
Eulemur coronatus,Mammalia,Female,b0,-6.86630657,1.330962257,-9.942987945,-4.882583906
Eulemur coronatus,Mammalia,Female,b1,0.282375877,0.072064434,0.167196682,0.44439822
Eulemur coronatus,Mammalia,Male,a0,-3.245759813,0.747195705,-4.751939693,-1.833484388
Eulemur coronatus,Mammalia,Male,a1,6.491795367,3.202600353,1.079538496,13.5182787
Eulemur coronatus,Mammalia,Male,c,0.013180253,0.007136455,0.001053417,0.028164007
Eulemur coronatus,Mammalia,Male,b0,-6.042700389,1.042822279,-8.421311377,-4.546740028
Eulemur coronatus,Mammalia,Male,b1,0.238748673,0.056258508,0.151670279,0.364632944
Vulpes zerda,Mammalia,Female,a0,-3.536337612,0.658626576,-4.855749404,-2.270059801
Vulpes zerda,Mammalia,Female,a1,5.659000423,3.594345406,0.150857161,13.52134196
Vulpes zerda,Mammalia,Female,c,0.025687275,0.005968944,0.008597365,0.035378027
Vulpes zerda,Mammalia,Female,b0,-6.794030708,0.448173697,-7.6941785,-5.927454186
Vulpes zerda,Mammalia,Female,b1,0.550091887,0.041813777,0.46868348,0.63388223
Vulpes zerda,Mammalia,Male,a0,-3.489284709,0.650496993,-4.871921507,-2.304808028
Vulpes zerda,Mammalia,Male,a1,5.787021838,3.337658682,0.281930477,13.00728887
Vulpes zerda,Mammalia,Male,c,0.023521045,0.005766798,0.010948808,0.033785149
Vulpes zerda,Mammalia,Male,b0,-6.086471294,0.435348999,-6.955550481,-5.242060294
Vulpes zerda,Mammalia,Male,b1,0.471971122,0.040466123,0.391787673,0.551561906
Helarctos malayanus,Mammalia,Female,a0,-3.240528026,0.748654258,-4.783422385,-1.816962324
Helarctos malayanus,Mammalia,Female,a1,6.747621298,3.177823813,1.625556176,13.63130974
Helarctos malayanus,Mammalia,Female,c,0.007342968,0.004428623,0.000551392,0.016803733
Helarctos malayanus,Mammalia,Female,b0,-6.006026886,0.795692943,-7.871392006,-4.855325756
Helarctos malayanus,Mammalia,Female,b1,0.1522416,0.033046647,0.100847305,0.226956455
Helarctos malayanus,Mammalia,Male,a0,-2.461656331,0.721492265,-3.998524056,-1.126384305
Helarctos malayanus,Mammalia,Male,a1,5.680107311,2.715838394,1.652577597,11.98805492
Helarctos malayanus,Mammalia,Male,c,0.004820234,0.003916931,0.000185533,0.014335489
Helarctos malayanus,Mammalia,Male,b0,-5.778498419,0.698892148,-7.376540154,-4.699736111
Helarctos malayanus,Mammalia,Male,b1,0.149922276,0.033291873,0.093909523,0.223094369
Macropus fuliginosus,Mammalia,Female,a0,-2.994316574,0.554471884,-4.180047787,-2.006758571
Macropus fuliginosus,Mammalia,Female,a1,3.921733944,3.022810896,0.378959442,11.30047367
Macropus fuliginosus,Mammalia,Female,c,0.048527036,0.014392247,0.012151793,0.069826883
Macropus fuliginosus,Mammalia,Female,b0,-4.9609863,0.721813436,-6.449500399,-3.620739734
Macropus fuliginosus,Mammalia,Female,b1,0.238133704,0.04676436,0.150961575,0.333612554
Macropus fuliginosus,Mammalia,Male,a0,-2.355639847,0.583575468,-3.681559399,-1.387824483
Macropus fuliginosus,Mammalia,Male,a1,5.109462132,2.701602532,1.084654144,11.52330094
Macropus fuliginosus,Mammalia,Male,c,0.075014584,0.025712555,0.012953815,0.113878376
Macropus fuliginosus,Mammalia,Male,b0,-4.220868727,0.908328667,-6.222922334,-2.720405332
Macropus fuliginosus,Mammalia,Male,b1,0.212923247,0.062712971,0.108919732,0.350858289
Erethizon dorsatum,Mammalia,Female,a0,-3.089720841,0.696598651,-4.569933996,-1.893074859
Erethizon dorsatum,Mammalia,Female,a1,4.683868434,3.502044769,0.036093882,12.40392276
Erethizon dorsatum,Mammalia,Female,c,0.139227543,0.021804193,0.071215887,0.163571693
Erethizon dorsatum,Mammalia,Female,b0,-9.622747559,2.708637563,-15.71900479,-4.825898809
Erethizon dorsatum,Mammalia,Female,b1,0.562642307,0.1959594,0.201081974,0.989501345
Erethizon dorsatum,Mammalia,Male,a0,-2.913516358,0.656058986,-4.375936624,-1.840460728
Erethizon dorsatum,Mammalia,Male,a1,2.84048629,3.022885723,0.085029645,10.81359545
Erethizon dorsatum,Mammalia,Male,c,0.110645192,0.025200521,0.03473294,0.14218993
Erethizon dorsatum,Mammalia,Male,b0,-7.864585434,1.969831352,-12.26150874,-4.529069809
Erethizon dorsatum,Mammalia,Male,b1,0.451808977,0.133971513,0.219690312,0.744619846
Dama dama,Mammalia,Female,a0,-3.679095203,0.437287555,-4.647483734,-2.932943887
Dama dama,Mammalia,Female,a1,3.023987128,2.600068701,0.146994975,10.08109069
Dama dama,Mammalia,Female,c,0.038308141,0.008253888,0.014650099,0.048649509
Dama dama,Mammalia,Female,b0,-5.242725034,0.399335755,-6.007411451,-4.424221316
Dama dama,Mammalia,Female,b1,0.2502691,0.02585014,0.198750611,0.300955679
Dama dama,Mammalia,Male,a0,-2.945327259,0.438629333,-3.977586536,-2.249671065
Dama dama,Mammalia,Male,a1,3.034023812,1.886495145,0.589396909,7.859653331
Dama dama,Mammalia,Male,c,0.071890841,0.027272928,0.008625424,0.109878007
Dama dama,Mammalia,Male,b0,-3.847595714,0.862186765,-5.716302465,-2.473269696
Dama dama,Mammalia,Male,b1,0.139006123,0.052848677,0.057872422,0.25644496
Mustela putorius,Mammalia,Female,a0,-2.329308316,0.425787534,-3.282540586,-1.565618758
Mustela putorius,Mammalia,Female,a1,5.444715782,1.994540511,2.287622789,9.947670164
Mustela putorius,Mammalia,Female,c,0.004252406,0.003719733,0.000112135,0.013762353
Mustela putorius,Mammalia,Female,b0,-3.792613184,0.11005907,-4.031993859,-3.597307147
Mustela putorius,Mammalia,Female,b1,0.498853563,0.018584172,0.463930741,0.538051562
Mustela putorius,Mammalia,Male,a0,-3.245791239,0.630505579,-4.579480004,-2.124950193
Mustela putorius,Mammalia,Male,a1,6.60675044,3.192027086,1.620634143,13.62134221
Mustela putorius,Mammalia,Male,c,0.002858412,0.00276072,7.11E-05,0.01014888
Mustela putorius,Mammalia,Male,b0,-3.4623463,0.082688155,-3.631453567,-3.308587905
Mustela putorius,Mammalia,Male,b1,0.492798986,0.015493694,0.463115274,0.52361143
Neovison vison,Mammalia,Female,a0,-2.272706623,0.815263106,-3.964066588,-0.796986719
Neovison vison,Mammalia,Female,a1,4.478676846,2.98174778,0.293791984,11.33813615
Neovison vison,Mammalia,Female,c,0.099223043,0.026509183,0.0379374,0.14697491
Neovison vison,Mammalia,Female,b0,-8.522212427,2.560328553,-13.84291291,-3.879502479
Neovison vison,Mammalia,Female,b1,0.785558404,0.279661123,0.261001677,1.353527395
Neovison vison,Mammalia,Male,a0,-2.627881492,0.800108646,-4.229026322,-1.158176756
Neovison vison,Mammalia,Male,a1,4.85508818,3.108988963,0.293041259,11.963901
Neovison vison,Mammalia,Male,c,0.06205451,0.030917487,0.006281919,0.122260097
Neovison vison,Mammalia,Male,b0,-5.387474654,1.463335945,-8.814618318,-3.216396577
Neovison vison,Mammalia,Male,b1,0.592331024,0.185520719,0.297325522,1.013720299
Taxidea taxus,Mammalia,Female,a0,-2.230804332,0.845120166,-3.974954633,-0.714948824
Taxidea taxus,Mammalia,Female,a1,4.308732637,2.825673677,0.558206338,10.9956667
Taxidea taxus,Mammalia,Female,c,0.028263528,0.012715174,0.005117337,0.054079645
Taxidea taxus,Mammalia,Female,b0,-7.587474695,1.784478975,-11.48729723,-4.814572327
Taxidea taxus,Mammalia,Female,b1,0.376711253,0.10710732,0.202126883,0.608253353
Taxidea taxus,Mammalia,Male,a0,-2.170448438,0.773355969,-3.793853145,-0.765552592
Taxidea taxus,Mammalia,Male,a1,3.310799554,2.308356172,0.529615894,9.306269268
Taxidea taxus,Mammalia,Male,c,0.018211648,0.010245664,0.002130881,0.041471266
Taxidea taxus,Mammalia,Male,b0,-8.426953294,1.798032007,-12.6092415,-5.556778454
Taxidea taxus,Mammalia,Male,b1,0.463745388,0.119819506,0.267014294,0.730955124
Mephitis mephitis,Mammalia,Female,a0,-3.234439994,0.666976809,-4.649333512,-2.004445081
Mephitis mephitis,Mammalia,Female,a1,5.5325615,3.420948011,0.337025772,13.30035896
Mephitis mephitis,Mammalia,Female,c,0.024185657,0.013914278,0.001559278,0.052724923
Mephitis mephitis,Mammalia,Female,b0,-3.792512494,0.33298877,-4.523048069,-3.247787611
Mephitis mephitis,Mammalia,Female,b1,0.405082404,0.043840053,0.329391084,0.497547244
Mephitis mephitis,Mammalia,Male,a0,-2.542290191,0.541961919,-3.715864236,-1.62911772
Mephitis mephitis,Mammalia,Male,a1,4.793441987,2.535010768,1.397217958,11.06167046
Mephitis mephitis,Mammalia,Male,c,0.009856377,0.00777078,0.000340755,0.028482903
Mephitis mephitis,Mammalia,Male,b0,-3.874703141,0.214572574,-4.34735559,-3.504806235
Mephitis mephitis,Mammalia,Male,b1,0.458531002,0.03192049,0.399798082,0.526406055
Saguinus oedipus,Mammalia,Female,a0,-3.754212538,0.570712819,-4.954749405,-2.741367483
Saguinus oedipus,Mammalia,Female,a1,4.826996163,3.414941695,0.057512145,12.45859615
Saguinus oedipus,Mammalia,Female,c,0.065646193,0.01210137,0.030402275,0.079866146
Saguinus oedipus,Mammalia,Female,b0,-5.274912927,0.647780609,-6.519648344,-4.011339166
Saguinus oedipus,Mammalia,Female,b1,0.217032397,0.039270643,0.142023897,0.292684906
Saguinus oedipus,Mammalia,Male,a0,-3.441992018,0.566902113,-4.663422186,-2.46439318
Saguinus oedipus,Mammalia,Male,a1,5.630302188,2.867979982,0.489207661,11.76650162
Saguinus oedipus,Mammalia,Male,c,0.061572182,0.005058472,0.051635606,0.069337201
Saguinus oedipus,Mammalia,Male,b0,-6.345256816,0.533918493,-7.440894973,-5.32623762
Saguinus oedipus,Mammalia,Male,b1,0.296020951,0.033219379,0.231760084,0.36318983
Tragelaphus oryx,Mammalia,Female,a0,-3.46812897,0.422051637,-4.35596612,-2.720927846
Tragelaphus oryx,Mammalia,Female,a1,3.564740673,2.408022039,0.534947944,9.81184949
Tragelaphus oryx,Mammalia,Female,c,0.035030769,0.004333324,0.025049802,0.041634752
Tragelaphus oryx,Mammalia,Female,b0,-6.084562777,0.349117572,-6.768185436,-5.392586546
Tragelaphus oryx,Mammalia,Female,b1,0.353119941,0.025268664,0.303179084,0.402586625
Tragelaphus oryx,Mammalia,Male,a0,-3.241578919,0.528425415,-4.41034586,-2.339835652
Tragelaphus oryx,Mammalia,Male,a1,4.828478705,2.671207022,0.394407461,10.94277192
Tragelaphus oryx,Mammalia,Male,c,0.046716601,0.012836319,0.01394546,0.065848513
Tragelaphus oryx,Mammalia,Male,b0,-4.403940912,0.518657323,-5.404964174,-3.38951905
Tragelaphus oryx,Mammalia,Male,b1,0.238363781,0.040893832,0.159756719,0.317342182
Tragelaphus angasii,Mammalia,Female,a0,-3.530591653,0.609249177,-4.819081313,-2.462385669
Tragelaphus angasii,Mammalia,Female,a1,5.088837751,3.659266401,0.061773767,13.14882978
Tragelaphus angasii,Mammalia,Female,c,0.073790936,0.012073042,0.032510146,0.087719984
Tragelaphus angasii,Mammalia,Female,b0,-6.86961699,0.679328714,-8.293865992,-5.654116378
Tragelaphus angasii,Mammalia,Female,b1,0.508406557,0.057896913,0.40274366,0.628834296
Tragelaphus angasii,Mammalia,Male,a0,-3.044314402,0.633981241,-4.436760819,-1.975358653
Tragelaphus angasii,Mammalia,Male,a1,4.495728468,2.987508904,0.101904887,11.44679656
Tragelaphus angasii,Mammalia,Male,c,0.104574917,0.044926791,0.010332533,0.176382993
Tragelaphus angasii,Mammalia,Male,b0,-3.215443074,0.803065198,-5.003213638,-2.006305335
Tragelaphus angasii,Mammalia,Male,b1,0.215637199,0.074721692,0.103607703,0.38325641
Macropus agilis,Mammalia,Female,a0,-2.430564677,0.730745479,-3.957225448,-1.132475107
Macropus agilis,Mammalia,Female,a1,5.873991158,3.302034658,0.6556905,13.13323126
Macropus agilis,Mammalia,Female,c,0.124297895,0.016143699,0.085126804,0.145446146
Macropus agilis,Mammalia,Female,b0,-9.804005433,3.449318581,-16.91305728,-3.545077626
Macropus agilis,Mammalia,Female,b1,0.309832597,0.222363863,0.008566193,0.809377437
Macropus agilis,Mammalia,Male,a0,-2.639047751,0.759187154,-4.236235336,-1.256877373
Macropus agilis,Mammalia,Male,a1,5.321787429,3.255125317,0.197181182,12.77904868
Macropus agilis,Mammalia,Male,c,0.214248085,0.036985507,0.107576158,0.263390909
Macropus agilis,Mammalia,Male,b0,-7.473865987,3.373784353,-14.95856333,-2.433870025
Macropus agilis,Mammalia,Male,b1,0.288877046,0.230973041,0.013482225,0.891029182
Tragelaphus eurycerus,Mammalia,Female,a0,-3.487453405,0.624315948,-4.777792066,-2.331632756
Tragelaphus eurycerus,Mammalia,Female,a1,5.66211314,3.493375015,0.326067019,13.14925041
Tragelaphus eurycerus,Mammalia,Female,c,0.039694839,0.009253094,0.017114128,0.054810035
Tragelaphus eurycerus,Mammalia,Female,b0,-4.988273556,0.459171714,-5.891147817,-4.118346001
Tragelaphus eurycerus,Mammalia,Female,b1,0.284194613,0.033415867,0.221029041,0.350054208
Tragelaphus eurycerus,Mammalia,Male,a0,-3.256805438,0.663262069,-4.649848604,-2.085482044
Tragelaphus eurycerus,Mammalia,Male,a1,5.972032287,3.350938342,0.845510884,13.65111205
Tragelaphus eurycerus,Mammalia,Male,c,0.01444183,0.011360171,0.000490448,0.042234259
Tragelaphus eurycerus,Mammalia,Male,b0,-3.085148775,0.214194594,-3.601047256,-2.770170766
Tragelaphus eurycerus,Mammalia,Male,b1,0.184086228,0.019048384,0.151364581,0.226361267
Suricata suricatta,Mammalia,Female,a0,-4.125675254,0.579353888,-5.358294506,-3.095980428
Suricata suricatta,Mammalia,Female,a1,5.704619748,3.852667154,0.025830466,13.88636927
Suricata suricatta,Mammalia,Female,c,0.055697764,0.009288438,0.026423944,0.066546512
Suricata suricatta,Mammalia,Female,b0,-5.030582456,0.286542254,-5.592782329,-4.484649016
Suricata suricatta,Mammalia,Female,b1,0.350923853,0.026006329,0.301024962,0.401377789
Suricata suricatta,Mammalia,Male,a0,-4.30428619,0.546834812,-5.494252291,-3.362125255
Suricata suricatta,Mammalia,Male,a1,4.521742255,3.928087621,0.005927652,13.15625188
Suricata suricatta,Mammalia,Male,c,0.026412217,0.010097893,0.00218822,0.040395561
Suricata suricatta,Mammalia,Male,b0,-4.186977212,0.227566441,-4.622595355,-3.741340008
Suricata suricatta,Mammalia,Male,b1,0.276209805,0.020343341,0.237525539,0.315949867
Callithrix jacchus,Mammalia,Female,a0,-3.816900698,0.670375017,-5.192477769,-2.543356362
Callithrix jacchus,Mammalia,Female,a1,5.97183412,3.587961063,0.006963454,13.38514153
Callithrix jacchus,Mammalia,Female,c,0.066593274,0.036770417,0.004745713,0.132690439
Callithrix jacchus,Mammalia,Female,b0,-2.955037051,0.686366324,-4.622856345,-2.073414315
Callithrix jacchus,Mammalia,Female,b1,0.086290989,0.037327575,0.040478988,0.181743087
Callithrix jacchus,Mammalia,Male,a0,-3.362116061,0.606271555,-4.654403497,-2.325341406
Callithrix jacchus,Mammalia,Male,a1,6.271034162,3.128605566,0.764006442,13.0616079
Callithrix jacchus,Mammalia,Male,c,0.049199091,0.025416163,0.003624795,0.095467292
Callithrix jacchus,Mammalia,Male,b0,-3.1073573,0.52477443,-4.356381718,-2.383512143
Callithrix jacchus,Mammalia,Male,b1,0.110746071,0.032750663,0.065795168,0.19047968
Tragelaphus spekii,Mammalia,Female,a0,-3.481795052,0.544732488,-4.695421222,-2.575600895
Tragelaphus spekii,Mammalia,Female,a1,2.099060478,2.600198805,0.078671,9.734713579
Tragelaphus spekii,Mammalia,Female,c,0.069791372,0.019746989,0.0136968,0.091626967
Tragelaphus spekii,Mammalia,Female,b0,-5.530892683,0.773570612,-6.946833776,-3.903536981
Tragelaphus spekii,Mammalia,Female,b1,0.297788301,0.052583723,0.189801979,0.393640513
Tragelaphus spekii,Mammalia,Male,a0,-2.401483028,0.341232507,-3.164429774,-1.843926293
Tragelaphus spekii,Mammalia,Male,a1,1.101254955,0.837969257,0.246594592,3.174171082
Tragelaphus spekii,Mammalia,Male,c,0.151600364,0.023500532,0.084071863,0.180748245
Tragelaphus spekii,Mammalia,Male,b0,-7.61229491,1.950354483,-11.89241516,-4.207321635
Tragelaphus spekii,Mammalia,Male,b1,0.454414772,0.135316651,0.211042791,0.74813188
Tragelaphus strepsiceros,Mammalia,Female,a0,-3.040037946,0.526742819,-4.210293427,-2.129132651
Tragelaphus strepsiceros,Mammalia,Female,a1,4.790374544,2.56476022,0.885304257,10.96724173
Tragelaphus strepsiceros,Mammalia,Female,c,0.035806714,0.012767803,0.006812303,0.057751507
Tragelaphus strepsiceros,Mammalia,Female,b0,-3.981804245,0.387515121,-4.77621455,-3.25709356
Tragelaphus strepsiceros,Mammalia,Female,b1,0.227496033,0.029775746,0.172261276,0.289125142
Tragelaphus strepsiceros,Mammalia,Male,a0,-3.23021224,0.683834597,-4.66070165,-2.040514788
Tragelaphus strepsiceros,Mammalia,Male,a1,6.558934739,3.277499208,1.262654244,13.66551739
Tragelaphus strepsiceros,Mammalia,Male,c,0.013944076,0.012476355,0.000431902,0.045760105
Tragelaphus strepsiceros,Mammalia,Male,b0,-2.425350612,0.137549195,-2.752293318,-2.217780716
Tragelaphus strepsiceros,Mammalia,Male,b1,0.161326266,0.015633522,0.132655965,0.194185719
Chrotogale owstoni,Mammalia,Female,a0,-1.843557424,0.792408152,-3.646852305,-0.558580553
Chrotogale owstoni,Mammalia,Female,a1,2.704302082,2.452339442,0.264900484,9.288947792
Chrotogale owstoni,Mammalia,Female,c,0.107296254,0.041688845,0.01662291,0.18146723
Chrotogale owstoni,Mammalia,Female,b0,-7.412221082,2.820672681,-13.87158466,-3.14818265
Chrotogale owstoni,Mammalia,Female,b1,0.42699441,0.206098592,0.080180228,0.86994961
Chrotogale owstoni,Mammalia,Male,a0,-1.482029823,0.742897437,-3.146192562,-0.24387213
Chrotogale owstoni,Mammalia,Male,a1,2.429332847,1.929007805,0.496246182,8.082265788
Chrotogale owstoni,Mammalia,Male,c,0.058557104,0.033450107,0.004267104,0.129140637
Chrotogale owstoni,Mammalia,Male,b0,-6.630884135,2.378775161,-12.88480084,-3.460694182
Chrotogale owstoni,Mammalia,Male,b1,0.409722902,0.172513832,0.137455272,0.829320757
Genetta genetta,Mammalia,Female,a0,-2.574327758,0.775219654,-4.109759567,-1.085862803
Genetta genetta,Mammalia,Female,a1,5.43454123,3.097763458,0.640757521,12.42404594
Genetta genetta,Mammalia,Female,c,0.027160699,0.010109947,0.006595007,0.047581351
Genetta genetta,Mammalia,Female,b0,-7.259545549,1.433134611,-10.36315257,-4.737344634
Genetta genetta,Mammalia,Female,b1,0.373520981,0.090585534,0.204541606,0.5639106
Genetta genetta,Mammalia,Male,a0,-3.033922678,0.759524976,-4.565247756,-1.608021939
Genetta genetta,Mammalia,Male,a1,5.563591445,3.377442599,0.554897178,13.02187551
Genetta genetta,Mammalia,Male,c,0.015951336,0.010216157,0.000793642,0.03893299
Genetta genetta,Mammalia,Male,b0,-5.160202891,0.813157637,-6.954811822,-3.934181663
Genetta genetta,Mammalia,Male,b1,0.252218861,0.060552068,0.146554712,0.380682776
Genetta tigrina,Mammalia,Female,a0,-2.449793171,0.845108869,-4.14274064,-0.871621706
Genetta tigrina,Mammalia,Female,a1,5.242799692,3.021108225,0.657202682,12.08287168
Genetta tigrina,Mammalia,Female,c,0.027609055,0.012924765,0.004711576,0.055732394
Genetta tigrina,Mammalia,Female,b0,-8.804350593,2.703804962,-14.8623016,-4.665831221
Genetta tigrina,Mammalia,Female,b1,0.444402652,0.170711817,0.167551185,0.814403231
Genetta tigrina,Mammalia,Male,a0,-2.195315937,0.832837644,-3.913966342,-0.699334649
Genetta tigrina,Mammalia,Male,a1,5.069618366,2.897203711,0.846187613,11.92905546
Genetta tigrina,Mammalia,Male,c,0.017158619,0.010534838,0.001470457,0.041954242
